,Element,Episode,Title,Included,Type_of_element,Category_of_element,HasLocation
38,Mountain,S01E01,A WALK IN THE WOODS,0,Topography,Landscape,1
39,Night,S01E01,A WALK IN THE WOODS,0,Time_of_day,Time_and_atmosphere,0
40,Ocean,S01E01,A WALK IN THE WOODS,0,Water,Landscape,1
41,Oval Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
42,Palm Trees,S01E01,A WALK IN THE WOODS,0,Vegetation,Landscape,1
43,Path,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
44,Person,S01E01,A WALK IN THE WOODS,0,Person,Human,0
45,Portrait,S01E01,A WALK IN THE WOODS,0,Painting_type,Human,0
46,Rectangle 3D Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
47,Rectangular Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
48,River,S01E01,A WALK IN THE WOODS,1,Water,Landscape,1
49,Rocks,S01E01,A WALK IN THE WOODS,0,Rocks,Landscape,1
50,Seashell Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
51,Snowy Mountain,S01E01,A WALK IN THE WOODS,0,Topography,Landscape,1
52,Snow,S01E01,A WALK IN THE WOODS,0,Season_and_weather,Time_and_atmosphere,1
53,Split Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
54,Steve Ross,S01E01,A WALK IN THE WOODS,0,Painted_by_a_guest,Execution,0
55,Structure,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
56,SUN,S01E01,A WALK IN THE WOODS,0,Sky,Landscape,0
57,Tomb Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
58,Trees,S01E01,A WALK IN THE WOODS,1,Vegetation,Landscape,1
59,Tree,S01E01,A WALK IN THE WOODS,1,Vegetation,Landscape,1
60,Triple Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
61,Waterfall,S01E01,A WALK IN THE WOODS,0,Water,Landscape,1
62,Waves,S01E01,A WALK IN THE WOODS,0,Water,Landscape,1
63,Windmill,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
64,Window Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
65,Winter,S01E01,A WALK IN THE WOODS,0,Season_and_weather,Time_and_atmosphere,0
66,Wood Framed,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
67,Apple Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
68,Aurora Borealis,S01E02,MT. MCKINLEY,0,Sky,Landscape,1
69,Barn,S01E02,MT. MCKINLEY,0,Human_built,Human,1
70,Beach,S01E02,MT. MCKINLEY,0,Water,Landscape,1
71,Boat,S01E02,MT. MCKINLEY,0,Human_presence,Human,1
72,Bridge,S01E02,MT. MCKINLEY,0,Human_built,Human,1
73,Building,S01E02,MT. MCKINLEY,0,Human_built,Human,1
74,Bushes,S01E02,MT. MCKINLEY,0,Vegetation,Landscape,1
75,Cabin,S01E02,MT. MCKINLEY,1,Human_built,Human,1
76,Cactus,S01E02,MT. MCKINLEY,0,Vegetation,Landscape,1
77,Circle Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
78,Cirrus,S01E02,MT. MCKINLEY,0,Sky,Landscape,0
79,Cliff,S01E02,MT. MCKINLEY,0,Topography,Landscape,1
80,Clouds,S01E02,MT. MCKINLEY,1,Sky,Landscape,0
81,Conifer,S01E02,MT. MCKINLEY,1,Vegetation,Landscape,1
82,Cumulus,S01E02,MT. MCKINLEY,0,Sky,Landscape,0
83,Deciduous,S01E02,MT. MCKINLEY,0,Vegetation,Landscape,1
84,Diane Andre,S01E02,MT. MCKINLEY,0,Painted_by_a_guest,Execution,0
85,Dock,S01E02,MT. MCKINLEY,0,Human_built,Human,1
86,Double Oval Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
87,Farm,S01E02,MT. MCKINLEY,0,Human_built,Human,1
88,Fence,S01E02,MT. MCKINLEY,0,Human_built,Human,1
89,Fire,S01E02,MT. MCKINLEY,0,Human_presence,Human,0
90,Florida Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
91,Flowers,S01E02,MT. MCKINLEY,0,Vegetation,Landscape,1
92,FOG,S01E02,MT. MCKINLEY,0,Season_and_weather,Time_and_atmosphere,1
93,Framed,S01E02,MT. MCKINLEY,0,Frame,Execution,0
94,Grass,S01E02,MT. MCKINLEY,0,Vegetation,Landscape,1
95,Guest,S01E02,MT. MCKINLEY,0,Painted_by_a_guest,Execution,0
96,Half Circle Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
97,Half Oval Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
98,Hills,S01E02,MT. MCKINLEY,0,Topography,Landscape,1
99,Lakes,S01E02,MT. MCKINLEY,0,Water,Landscape,1
100,Lake,S01E02,MT. MCKINLEY,0,Water,Landscape,1
101,Lighthouse,S01E02,MT. MCKINLEY,0,Human_built,Human,1
102,Mill,S01E02,MT. MCKINLEY,0,Human_built,Human,1
103,Moon,S01E02,MT. MCKINLEY,0,Sky,Landscape,0
104,Mountains,S01E02,MT. MCKINLEY,0,Topography,Landscape,1
105,Mountain,S01E02,MT. MCKINLEY,1,Topography,Landscape,1
106,Night,S01E02,MT. MCKINLEY,0,Time_of_day,Time_and_atmosphere,0
107,Ocean,S01E02,MT. MCKINLEY,0,Water,Landscape,1
108,Oval Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
109,Palm Trees,S01E02,MT. MCKINLEY,0,Vegetation,Landscape,1
110,Path,S01E02,MT. MCKINLEY,0,Human_built,Human,1
111,Person,S01E02,MT. MCKINLEY,0,Person,Human,0
112,Portrait,S01E02,MT. MCKINLEY,0,Painting_type,Human,0
113,Rectangle 3D Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
114,Rectangular Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
115,River,S01E02,MT. MCKINLEY,0,Water,Landscape,1
116,Rocks,S01E02,MT. MCKINLEY,0,Rocks,Landscape,1
117,Seashell Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
118,Snowy Mountain,S01E02,MT. MCKINLEY,1,Topography,Landscape,1
119,Snow,S01E02,MT. MCKINLEY,1,Season_and_weather,Time_and_atmosphere,1
120,Split Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
121,Steve Ross,S01E02,MT. MCKINLEY,0,Painted_by_a_guest,Execution,0
122,Structure,S01E02,MT. MCKINLEY,0,Human_built,Human,1
123,SUN,S01E02,MT. MCKINLEY,0,Sky,Landscape,0
124,Tomb Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
125,Trees,S01E02,MT. MCKINLEY,1,Vegetation,Landscape,1
126,Tree,S01E02,MT. MCKINLEY,1,Vegetation,Landscape,1
127,Triple Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
128,Waterfall,S01E02,MT. MCKINLEY,0,Water,Landscape,1
129,Waves,S01E02,MT. MCKINLEY,0,Water,Landscape,1
130,Windmill,S01E02,MT. MCKINLEY,0,Human_built,Human,1
131,Window Frame,S01E02,MT. MCKINLEY,0,Frame,Execution,0
132,Winter,S01E02,MT. MCKINLEY,1,Season_and_weather,Time_and_atmosphere,0
133,Wood Framed,S01E02,MT. MCKINLEY,0,Frame,Execution,0
134,Apple Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
135,Aurora Borealis,S01E03,EBONY SUNSET,0,Sky,Landscape,1
136,Barn,S01E03,EBONY SUNSET,0,Human_built,Human,1
137,Beach,S01E03,EBONY SUNSET,0,Water,Landscape,1
138,Boat,S01E03,EBONY SUNSET,0,Human_presence,Human,1
139,Bridge,S01E03,EBONY SUNSET,0,Human_built,Human,1
140,Building,S01E03,EBONY SUNSET,0,Human_built,Human,1
141,Bushes,S01E03,EBONY SUNSET,0,Vegetation,Landscape,1
142,Cabin,S01E03,EBONY SUNSET,1,Human_built,Human,1
143,Cactus,S01E03,EBONY SUNSET,0,Vegetation,Landscape,1
144,Circle Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
145,Cirrus,S01E03,EBONY SUNSET,0,Sky,Landscape,0
146,Cliff,S01E03,EBONY SUNSET,0,Topography,Landscape,1
147,Clouds,S01E03,EBONY SUNSET,0,Sky,Landscape,0
148,Conifer,S01E03,EBONY SUNSET,1,Vegetation,Landscape,1
149,Cumulus,S01E03,EBONY SUNSET,0,Sky,Landscape,0
150,Deciduous,S01E03,EBONY SUNSET,0,Vegetation,Landscape,1
151,Diane Andre,S01E03,EBONY SUNSET,0,Painted_by_a_guest,Execution,0
152,Dock,S01E03,EBONY SUNSET,0,Human_built,Human,1
153,Double Oval Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
154,Farm,S01E03,EBONY SUNSET,0,Human_built,Human,1
155,Fence,S01E03,EBONY SUNSET,1,Human_built,Human,1
156,Fire,S01E03,EBONY SUNSET,0,Human_presence,Human,0
157,Florida Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
158,Flowers,S01E03,EBONY SUNSET,0,Vegetation,Landscape,1
159,FOG,S01E03,EBONY SUNSET,0,Season_and_weather,Time_and_atmosphere,1
160,Framed,S01E03,EBONY SUNSET,0,Frame,Execution,0
161,Grass,S01E03,EBONY SUNSET,0,Vegetation,Landscape,1
162,Guest,S01E03,EBONY SUNSET,0,Painted_by_a_guest,Execution,0
163,Half Circle Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
164,Half Oval Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
165,Hills,S01E03,EBONY SUNSET,0,Topography,Landscape,1
166,Lakes,S01E03,EBONY SUNSET,0,Water,Landscape,1
167,Lake,S01E03,EBONY SUNSET,0,Water,Landscape,1
168,Lighthouse,S01E03,EBONY SUNSET,0,Human_built,Human,1
169,Mill,S01E03,EBONY SUNSET,0,Human_built,Human,1
170,Moon,S01E03,EBONY SUNSET,0,Sky,Landscape,0
171,Mountains,S01E03,EBONY SUNSET,1,Topography,Landscape,1
172,Mountain,S01E03,EBONY SUNSET,1,Topography,Landscape,1
173,Night,S01E03,EBONY SUNSET,0,Time_of_day,Time_and_atmosphere,0
174,Ocean,S01E03,EBONY SUNSET,0,Water,Landscape,1
175,Oval Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
176,Palm Trees,S01E03,EBONY SUNSET,0,Vegetation,Landscape,1
177,Path,S01E03,EBONY SUNSET,0,Human_built,Human,1
178,Person,S01E03,EBONY SUNSET,0,Person,Human,0
179,Portrait,S01E03,EBONY SUNSET,0,Painting_type,Human,0
180,Rectangle 3D Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
181,Rectangular Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
182,River,S01E03,EBONY SUNSET,0,Water,Landscape,1
183,Rocks,S01E03,EBONY SUNSET,0,Rocks,Landscape,1
184,Seashell Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
185,Snowy Mountain,S01E03,EBONY SUNSET,0,Topography,Landscape,1
186,Snow,S01E03,EBONY SUNSET,0,Season_and_weather,Time_and_atmosphere,1
187,Split Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
188,Steve Ross,S01E03,EBONY SUNSET,0,Painted_by_a_guest,Execution,0
189,Structure,S01E03,EBONY SUNSET,1,Human_built,Human,1
190,SUN,S01E03,EBONY SUNSET,1,Sky,Landscape,0
191,Tomb Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
192,Trees,S01E03,EBONY SUNSET,1,Vegetation,Landscape,1
193,Tree,S01E03,EBONY SUNSET,1,Vegetation,Landscape,1
194,Triple Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
195,Waterfall,S01E03,EBONY SUNSET,0,Water,Landscape,1
196,Waves,S01E03,EBONY SUNSET,0,Water,Landscape,1
197,Windmill,S01E03,EBONY SUNSET,0,Human_built,Human,1
198,Window Frame,S01E03,EBONY SUNSET,0,Frame,Execution,0
199,Winter,S01E03,EBONY SUNSET,1,Season_and_weather,Time_and_atmosphere,0
200,Wood Framed,S01E03,EBONY SUNSET,0,Frame,Execution,0
201,Apple Frame,S01E04,WINTER MIST,0,Frame,Execution,0
202,Aurora Borealis,S01E04,WINTER MIST,0,Sky,Landscape,1
203,Barn,S01E04,WINTER MIST,0,Human_built,Human,1
204,Beach,S01E04,WINTER MIST,0,Water,Landscape,1
205,Boat,S01E04,WINTER MIST,0,Human_presence,Human,1
206,Bridge,S01E04,WINTER MIST,0,Human_built,Human,1
207,Building,S01E04,WINTER MIST,0,Human_built,Human,1
208,Bushes,S01E04,WINTER MIST,1,Vegetation,Landscape,1
209,Cabin,S01E04,WINTER MIST,0,Human_built,Human,1
210,Cactus,S01E04,WINTER MIST,0,Vegetation,Landscape,1
211,Circle Frame,S01E04,WINTER MIST,0,Frame,Execution,0
212,Cirrus,S01E04,WINTER MIST,0,Sky,Landscape,0
213,Cliff,S01E04,WINTER MIST,0,Topography,Landscape,1
214,Clouds,S01E04,WINTER MIST,1,Sky,Landscape,0
215,Conifer,S01E04,WINTER MIST,1,Vegetation,Landscape,1
216,Cumulus,S01E04,WINTER MIST,0,Sky,Landscape,0
217,Deciduous,S01E04,WINTER MIST,0,Vegetation,Landscape,1
218,Diane Andre,S01E04,WINTER MIST,0,Painted_by_a_guest,Execution,0
219,Dock,S01E04,WINTER MIST,0,Human_built,Human,1
220,Double Oval Frame,S01E04,WINTER MIST,0,Frame,Execution,0
221,Farm,S01E04,WINTER MIST,0,Human_built,Human,1
222,Fence,S01E04,WINTER MIST,0,Human_built,Human,1
223,Fire,S01E04,WINTER MIST,0,Human_presence,Human,0
224,Florida Frame,S01E04,WINTER MIST,0,Frame,Execution,0
225,Flowers,S01E04,WINTER MIST,0,Vegetation,Landscape,1
226,FOG,S01E04,WINTER MIST,0,Season_and_weather,Time_and_atmosphere,1
227,Framed,S01E04,WINTER MIST,0,Frame,Execution,0
228,Grass,S01E04,WINTER MIST,0,Vegetation,Landscape,1
229,Guest,S01E04,WINTER MIST,0,Painted_by_a_guest,Execution,0
230,Half Circle Frame,S01E04,WINTER MIST,0,Frame,Execution,0
231,Half Oval Frame,S01E04,WINTER MIST,0,Frame,Execution,0
232,Hills,S01E04,WINTER MIST,0,Topography,Landscape,1
233,Lakes,S01E04,WINTER MIST,0,Water,Landscape,1
234,Lake,S01E04,WINTER MIST,1,Water,Landscape,1
235,Lighthouse,S01E04,WINTER MIST,0,Human_built,Human,1
236,Mill,S01E04,WINTER MIST,0,Human_built,Human,1
237,Moon,S01E04,WINTER MIST,0,Sky,Landscape,0
238,Mountains,S01E04,WINTER MIST,0,Topography,Landscape,1
239,Mountain,S01E04,WINTER MIST,1,Topography,Landscape,1
240,Night,S01E04,WINTER MIST,0,Time_of_day,Time_and_atmosphere,0
241,Ocean,S01E04,WINTER MIST,0,Water,Landscape,1
242,Oval Frame,S01E04,WINTER MIST,0,Frame,Execution,0
243,Palm Trees,S01E04,WINTER MIST,0,Vegetation,Landscape,1
244,Path,S01E04,WINTER MIST,0,Human_built,Human,1
245,Person,S01E04,WINTER MIST,0,Person,Human,0
246,Portrait,S01E04,WINTER MIST,0,Painting_type,Human,0
247,Rectangle 3D Frame,S01E04,WINTER MIST,0,Frame,Execution,0
248,Rectangular Frame,S01E04,WINTER MIST,0,Frame,Execution,0
249,River,S01E04,WINTER MIST,0,Water,Landscape,1
250,Rocks,S01E04,WINTER MIST,0,Rocks,Landscape,1
251,Seashell Frame,S01E04,WINTER MIST,0,Frame,Execution,0
252,Snowy Mountain,S01E04,WINTER MIST,1,Topography,Landscape,1
253,Snow,S01E04,WINTER MIST,0,Season_and_weather,Time_and_atmosphere,1
254,Split Frame,S01E04,WINTER MIST,0,Frame,Execution,0
255,Steve Ross,S01E04,WINTER MIST,0,Painted_by_a_guest,Execution,0
256,Structure,S01E04,WINTER MIST,0,Human_built,Human,1
257,SUN,S01E04,WINTER MIST,0,Sky,Landscape,0
258,Tomb Frame,S01E04,WINTER MIST,0,Frame,Execution,0
259,Trees,S01E04,WINTER MIST,1,Vegetation,Landscape,1
260,Tree,S01E04,WINTER MIST,1,Vegetation,Landscape,1
261,Triple Frame,S01E04,WINTER MIST,0,Frame,Execution,0
262,Waterfall,S01E04,WINTER MIST,0,Water,Landscape,1
263,Waves,S01E04,WINTER MIST,0,Water,Landscape,1
264,Windmill,S01E04,WINTER MIST,0,Human_built,Human,1
265,Window Frame,S01E04,WINTER MIST,0,Frame,Execution,0
266,Winter,S01E04,WINTER MIST,0,Season_and_weather,Time_and_atmosphere,0
267,Wood Framed,S01E04,WINTER MIST,0,Frame,Execution,0
268,Apple Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
269,Aurora Borealis,S01E05,QUIET STREAM,0,Sky,Landscape,1
270,Barn,S01E05,QUIET STREAM,0,Human_built,Human,1
271,Beach,S01E05,QUIET STREAM,0,Water,Landscape,1
272,Boat,S01E05,QUIET STREAM,0,Human_presence,Human,1
273,Bridge,S01E05,QUIET STREAM,0,Human_built,Human,1
274,Building,S01E05,QUIET STREAM,0,Human_built,Human,1
275,Bushes,S01E05,QUIET STREAM,0,Vegetation,Landscape,1
276,Cabin,S01E05,QUIET STREAM,0,Human_built,Human,1
277,Cactus,S01E05,QUIET STREAM,0,Vegetation,Landscape,1
278,Circle Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
279,Cirrus,S01E05,QUIET STREAM,0,Sky,Landscape,0
280,Cliff,S01E05,QUIET STREAM,0,Topography,Landscape,1
281,Clouds,S01E05,QUIET STREAM,0,Sky,Landscape,0
282,Conifer,S01E05,QUIET STREAM,0,Vegetation,Landscape,1
283,Cumulus,S01E05,QUIET STREAM,0,Sky,Landscape,0
284,Deciduous,S01E05,QUIET STREAM,1,Vegetation,Landscape,1
285,Diane Andre,S01E05,QUIET STREAM,0,Painted_by_a_guest,Execution,0
286,Dock,S01E05,QUIET STREAM,0,Human_built,Human,1
287,Double Oval Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
288,Farm,S01E05,QUIET STREAM,0,Human_built,Human,1
289,Fence,S01E05,QUIET STREAM,0,Human_built,Human,1
290,Fire,S01E05,QUIET STREAM,0,Human_presence,Human,0
291,Florida Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
292,Flowers,S01E05,QUIET STREAM,0,Vegetation,Landscape,1
293,FOG,S01E05,QUIET STREAM,0,Season_and_weather,Time_and_atmosphere,1
294,Framed,S01E05,QUIET STREAM,0,Frame,Execution,0
295,Grass,S01E05,QUIET STREAM,0,Vegetation,Landscape,1
296,Guest,S01E05,QUIET STREAM,0,Painted_by_a_guest,Execution,0
297,Half Circle Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
298,Half Oval Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
299,Hills,S01E05,QUIET STREAM,0,Topography,Landscape,1
300,Lakes,S01E05,QUIET STREAM,0,Water,Landscape,1
301,Lake,S01E05,QUIET STREAM,0,Water,Landscape,1
302,Lighthouse,S01E05,QUIET STREAM,0,Human_built,Human,1
303,Mill,S01E05,QUIET STREAM,0,Human_built,Human,1
304,Moon,S01E05,QUIET STREAM,0,Sky,Landscape,0
305,Mountains,S01E05,QUIET STREAM,0,Topography,Landscape,1
306,Mountain,S01E05,QUIET STREAM,0,Topography,Landscape,1
307,Night,S01E05,QUIET STREAM,0,Time_of_day,Time_and_atmosphere,0
308,Ocean,S01E05,QUIET STREAM,0,Water,Landscape,1
309,Oval Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
310,Palm Trees,S01E05,QUIET STREAM,0,Vegetation,Landscape,1
311,Path,S01E05,QUIET STREAM,0,Human_built,Human,1
312,Person,S01E05,QUIET STREAM,0,Person,Human,0
313,Portrait,S01E05,QUIET STREAM,0,Painting_type,Human,0
314,Rectangle 3D Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
315,Rectangular Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
316,River,S01E05,QUIET STREAM,1,Water,Landscape,1
317,Rocks,S01E05,QUIET STREAM,1,Rocks,Landscape,1
318,Seashell Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
319,Snowy Mountain,S01E05,QUIET STREAM,0,Topography,Landscape,1
320,Snow,S01E05,QUIET STREAM,0,Season_and_weather,Time_and_atmosphere,1
321,Split Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
322,Steve Ross,S01E05,QUIET STREAM,0,Painted_by_a_guest,Execution,0
323,Structure,S01E05,QUIET STREAM,0,Human_built,Human,1
324,SUN,S01E05,QUIET STREAM,0,Sky,Landscape,0
325,Tomb Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
326,Trees,S01E05,QUIET STREAM,1,Vegetation,Landscape,1
327,Tree,S01E05,QUIET STREAM,1,Vegetation,Landscape,1
328,Triple Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
329,Waterfall,S01E05,QUIET STREAM,0,Water,Landscape,1
330,Waves,S01E05,QUIET STREAM,0,Water,Landscape,1
331,Windmill,S01E05,QUIET STREAM,0,Human_built,Human,1
332,Window Frame,S01E05,QUIET STREAM,0,Frame,Execution,0
333,Winter,S01E05,QUIET STREAM,0,Season_and_weather,Time_and_atmosphere,0
334,Wood Framed,S01E05,QUIET STREAM,0,Frame,Execution,0
335,Apple Frame,S01E06,WINTER MOON,0,Frame,Execution,0
336,Aurora Borealis,S01E06,WINTER MOON,0,Sky,Landscape,1
337,Barn,S01E06,WINTER MOON,0,Human_built,Human,1
338,Beach,S01E06,WINTER MOON,0,Water,Landscape,1
339,Boat,S01E06,WINTER MOON,0,Human_presence,Human,1
340,Bridge,S01E06,WINTER MOON,0,Human_built,Human,1
341,Building,S01E06,WINTER MOON,0,Human_built,Human,1
342,Bushes,S01E06,WINTER MOON,0,Vegetation,Landscape,1
343,Cabin,S01E06,WINTER MOON,1,Human_built,Human,1
344,Cactus,S01E06,WINTER MOON,0,Vegetation,Landscape,1
345,Circle Frame,S01E06,WINTER MOON,0,Frame,Execution,0
346,Cirrus,S01E06,WINTER MOON,0,Sky,Landscape,0
347,Cliff,S01E06,WINTER MOON,0,Topography,Landscape,1
348,Clouds,S01E06,WINTER MOON,0,Sky,Landscape,0
349,Conifer,S01E06,WINTER MOON,1,Vegetation,Landscape,1
350,Cumulus,S01E06,WINTER MOON,0,Sky,Landscape,0
351,Deciduous,S01E06,WINTER MOON,0,Vegetation,Landscape,1
352,Diane Andre,S01E06,WINTER MOON,0,Painted_by_a_guest,Execution,0
353,Dock,S01E06,WINTER MOON,0,Human_built,Human,1
354,Double Oval Frame,S01E06,WINTER MOON,0,Frame,Execution,0
355,Farm,S01E06,WINTER MOON,0,Human_built,Human,1
356,Fence,S01E06,WINTER MOON,0,Human_built,Human,1
357,Fire,S01E06,WINTER MOON,0,Human_presence,Human,0
358,Florida Frame,S01E06,WINTER MOON,0,Frame,Execution,0
359,Flowers,S01E06,WINTER MOON,0,Vegetation,Landscape,1
360,FOG,S01E06,WINTER MOON,0,Season_and_weather,Time_and_atmosphere,1
361,Framed,S01E06,WINTER MOON,0,Frame,Execution,0
362,Grass,S01E06,WINTER MOON,0,Vegetation,Landscape,1
363,Guest,S01E06,WINTER MOON,0,Painted_by_a_guest,Execution,0
364,Half Circle Frame,S01E06,WINTER MOON,0,Frame,Execution,0
365,Half Oval Frame,S01E06,WINTER MOON,0,Frame,Execution,0
366,Hills,S01E06,WINTER MOON,0,Topography,Landscape,1
367,Lakes,S01E06,WINTER MOON,0,Water,Landscape,1
368,Lake,S01E06,WINTER MOON,1,Water,Landscape,1
369,Lighthouse,S01E06,WINTER MOON,0,Human_built,Human,1
370,Mill,S01E06,WINTER MOON,0,Human_built,Human,1
371,Moon,S01E06,WINTER MOON,1,Sky,Landscape,0
372,Mountains,S01E06,WINTER MOON,1,Topography,Landscape,1
373,Mountain,S01E06,WINTER MOON,1,Topography,Landscape,1
374,Night,S01E06,WINTER MOON,1,Time_of_day,Time_and_atmosphere,0
375,Ocean,S01E06,WINTER MOON,0,Water,Landscape,1
376,Oval Frame,S01E06,WINTER MOON,0,Frame,Execution,0
377,Palm Trees,S01E06,WINTER MOON,0,Vegetation,Landscape,1
378,Path,S01E06,WINTER MOON,0,Human_built,Human,1
379,Person,S01E06,WINTER MOON,0,Person,Human,0
380,Portrait,S01E06,WINTER MOON,0,Painting_type,Human,0
381,Rectangle 3D Frame,S01E06,WINTER MOON,0,Frame,Execution,0
382,Rectangular Frame,S01E06,WINTER MOON,0,Frame,Execution,0
383,River,S01E06,WINTER MOON,0,Water,Landscape,1
384,Rocks,S01E06,WINTER MOON,0,Rocks,Landscape,1
385,Seashell Frame,S01E06,WINTER MOON,0,Frame,Execution,0
386,Snowy Mountain,S01E06,WINTER MOON,1,Topography,Landscape,1
387,Snow,S01E06,WINTER MOON,1,Season_and_weather,Time_and_atmosphere,1
